uss,tend_s,max_abs_dpres_dt_Pa_s,delta_max_m,Umin_m_s,Umax_m_s,q_abs_max_m
1.3,120,3.522e5,1.0110e-2,0.1678,1.2757,1.8629
1.6,40,4.743e5,3.0580e-3,0.3829,1.5761,2.0878
1.6,80,4.743e5,6.4790e-3,0.4455,1.5774,1.572
1.6,120,4.743e5,9.8383e-3,0.448,1.5738,2.0677
2.0,120,5.376e5,7.1034e-3,0.9938,1.9747,2.0131
