case,uss,max_abs_dpres_dt_Pa_s,delta_max_m,Umin_m_s,Umax_m_s,q_abs_max_m
margin,1.6,4.756e5,3.0606e-3,0.3836,1.5761,2.088
tau_mob,1.6,4.743e5,3.0580e-3,0.3829,1.5761,2.0878
hinder,1.6,4.743e5,3.0580e-3,0.3829,1.5761,2.0878
combined,1.6,4.756e5,3.0606e-3,0.3836,1.5761,2.088
combined,2.0,5.412e5,2.2302e-3,0.9647,1.977,2.0374
